Unique_ID,Taxa,Species,x_g,y_g,Reference,Group,Order,Family,Genus,Notes
1465,Plant,Abies veitchii,4374.358974,953.846154,Cannell (1982).   Page 129; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Pinaceae,Abies,               
1466,Plant,Abies veitchii,7558.235586,1206.013547,Cannell (1982).   Page 130; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Pinaceae,Abies,               
1467,Plant,Abies veitchii,18391.75258,1731.958763,Cannell (1982).   Page 129; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Pinaceae,Abies,               
1468,Plant,Abies veitchii,52438.3849,2910.330362,Cannell (1982).   Page 130; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Pinaceae,Abies,               
1469,Plant,Abies veitchii,52601.15607,9585.741811,Cannell (1982).   Page 130; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Pinaceae,Abies,               
1470,Plant,Abies veitchii,55783.78378,2400,Cannell (1982).   Page 132; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Pinaceae,Abies,(58%) [a] and Abies mariesii (30%) et al. [a]
1471,Plant,Abies veitchii,89713.74646,4561.182762,Cannell (1982).   Page 129; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Pinaceae,Abies,               
1472,Plant,Abies veitchii,258305.6478,10631.22924,Cannell (1982).   Page 130; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Pinaceae,Abies,               
1473,Plant,Chamaecyparis obtusa,31808,4928,Cannell (1982).   Page 142; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Chamaecyparis,               
1474,Plant,Chamaecyparis obtusa,32925.61983,5157.024793,Cannell (1982).   Page 142; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Chamaecyparis,               
1475,Plant,Chamaecyparis obtusa,34556.10358,5487.053021,Cannell (1982).   Page 142; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Chamaecyparis,               
1476,Plant,Chamaecyparis obtusa,38384.61538,6153.846154,Cannell (1982).   Page 142; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Chamaecyparis,               
1477,Plant,Chamaecyparis obtusa,52571.42857,4857.142857,Cannell (1982).   Page 135; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Chamaecyparis,               
1478,Plant,Chamaecyparis obtusa,99117.38747,6575.463372,Cannell (1982).   Page 137; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Chamaecyparis,               
1479,Plant,Chamaecyparis obtusa,103099.6662,6771.578445,Cannell (1982).   Page 137; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Chamaecyparis,               
1480,Plant,Chamaecyparis obtusa,112506.407,7637.109175,Cannell (1982).   Page 137; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Chamaecyparis,               
1481,Plant,Chamaecyparis obtusa,121734.2342,8502.252252,Cannell (1982).   Page 137; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Chamaecyparis,               
